Party_3
Karenni Nationalities Defence Force - KNDF
Myaing PDF
Myingyan District PDF
Monywa District PDF
Shwebo District PDF
Sagaing District PDF
Pakokku District PDF
Yinmarbin District PDF
Civilian Defence Security Organization Myaung - CDSOM
Peacock Warrior PDF
SHAR HTOO WAW Technical Force
Myeik District PDF
Kachin Region People Defence Force - KPDF
Phoenix PDF
Peacock Brothers PDF
Pauk PDF
Salingyi Special Task Force (SSTF)
Mandalay PDF
Natogyi PDF
Dawei District PDF
Unicorn Guerrilla Force
Yesagyo PDF
Shwebo PDF
Earthquake PDF
Pakokku PDF
Myinmu PDF
Young Force (UG)
Pakokku Thurain
Black Eagle Defence  Force -MMU
Myingyan District Drone Strike
MS PDF
Dawna Column
KLG PDF
Chin National Defense Force (CNDF)
Middle Revolutionary Technical Front - MRTF
Union Brothers - UB
People's Liberation Army - PLA
Thayarwady District PDF
Seven People Defense Force
27 Revolution Forces - Myingyan
Yebyu PDF
Sagaing PDF
Shwebo Federal Army (SBFA)
PDF (Zoland)
CDF - Mindat
Mandalay District PDF
Support To Federal Democracy
Shwebo Crocodile
Red Wing PDF
Ngazun PDF
Anyar Myay Guerrilla Force
Salingyi PDF
Shwebo Arr Marn
Cobra Column
CDF - Matupi
Urban Underground Revolution Force - Yesagyo (UURF-YSO)
Myaung PDF
Lightning Guerrilla Force
Tanintharyi PDF
Chaung-U PDF
Eagle Guerrilla Force (EGF)
HG Fighters SBO
Monywa PDF
Wetlet PDF
Chindwin Brothers PDF
Taw Thar Gyi Artillery Guerrilla Force
Kamma PDF
Tavoy People Liberation Force - TPLF
Kalay PDF
Mon State Revolutionary Force - MSRF
Nyaung-U District PDF
Kanbauk Defense Force (KBDF)
Madaya PDF
Snake Eyes PDF
Mahuya Shwebo Thar LDF
Minbu District PDF
CDF - Kanpetlet
Myingyan Black Tiger (MBT)
B-21 Kani PDF
Bo Ba Taw PDF
Natogyi Regional Defence Force - NRDF
Shwebo Falcon LDF
Palaw PDF (PPDF)
Meiktila District PDF
PDF - Taloke
Gangaw District PDF
Myaung Special PDF
Burmese Guerrilla Force - BGF
Shwebo People's Security Force
People's Knight Defence Force (MMU)
Bo Lin Yaung
Budalin PDF
Myanmar Royal Dragon Army - MRDA
Wild Elephant
Chindwin Dynamite
Shwe Bo Eye For Eye PDF
Ma Phyu Lay PDF
Myingyan PDF
Myaung T.G.R
Ayadaw PDF
Dawei National Liberation Army - DNLA
Wolf Guerrilla Force
Ye Guerrilla Force - YGF
Black Cobra Force (BCF) - Pakokku
Theikdishin Taik Nal PDF
Shin Shin PDF
Pekon PDF
Bo Sar Guerrilla Force
People Defence Force - White Tiger
Yaung Ni Guerrilla Force
Peacock King PDF
Federal Wings Drone
Ye-U PDF
Daung Marn PDF
Bar Ma Hti group
Southern YSO PDF
Nay Pyi Taw PDF
Zarmani Daung LPDF
Kyaukse Nagar Ni Guerrilla Force
Daung Ta Marn PDF
Doe Be Brothers Force (DBBF)
Maraland Defense Force (MDF)
South Monywa PDF
Bo Kyar Yine PDF
Middle Revolution Task Force (MRTF)
Phoe Maung Pyan Lar B movie Supporter Group of Daw Na Column
Zarmani Guerrilla Force
Taungtha PDF
MPL Middle Land Guerrilla Force
Pentagram PDF
Buffalo Soldiers Freedom Force
Chauk PDF
Civil Revolution Force - CRF (Myinmu)
Dawei Guerrilla Revolutionary Force - DGRF
Pyay District PDF
Ar Lar Wa Ka PDF
Sintgaing Local People's Defence Force
Kyauk Khit Ko Mauk Pyit Mel Supporter Group
Lightning Drone Force
PDF - Kalay District
Forest Crow PDF
Khin-U PDF
Zay Yar Thwae PDF
Taze PDF
Salin PDF
Cat's Claw PDF
Dragon King Guerrilla Force
Phyu PDF
Ukraine Jeep Car PDF
Brother Defence Force BDF
Black Cheetah
Flying Dragon Force PDF
Red Dragon Guerrilla Force (Myingyan)
Magway District PDF
MGN 35 Guerrilla Force
Kyaukse District Defence Force - KDDF
CDF - Hakha
Taungtha TTA PDF
Phoenix Guerilla
Tabin Shwe Htee PDF
Black Panther Column
Golden Eagles PDF
Mobye PDF
Ghost Team Ranger Myinmu - GTR
Nagar Nyi Naung PDF
Galone Guerrilla Force - Myaing
Salingyi Border Task Force - SBTF
Pan Pyo Lat PDF
Ma Ta Htaung (Ta Kaung Bwar) - Depayin
Mahlaing PDF
Danger Force LPDF
Depayin PDF
Black Leopard Army
Kamma Defence Force (KMDF)
Kyaikto Revolution Force - KRF
Northern Tiger Group-NTG
Royal Falcon PDF
Myaing Village Revolution Front (MVRF)
Chindwin Attack Force
Zero Guerilla Force
Sar Taung Thunder PDF
Myaung Village Armed Force
Brave Heart Army (BHA)
MKCDF
Wings Of Kalay
Klar Thic Nat PDF
Yaw Defence Force-YDF
Chindwin Galone Yazar Guerrilla Force
Red Dragon Guerrilla Force
Sagaing District PDF (Drone Battalion)
Special Operation Force - S.O.F
Ba Htoo Army - BHA
Dawei Defence Team (DDT)
DMG PDF
Daung Fighter (MMU) PDF
People's Army to Fight Dictatorship (PAFD)
Fight For Federal
Monywa Ninja Team
TGYRc PDF - Ngazun
Thayet District PDF
A Maye Let Yone Guerrilla Force
CDF - KKG
Zar Ni Thway
Mahuya Wild Elephant PDF
Spring Warriors Column
Tein Ta Marn Air Operation PDF
Young Wolf - LPDF
Launglon PDF
Bamar People's Liberation Army (BPLA)
Red Dragon Column
Black Eagle PDF
Myaung Union Army
Royal Defence Force - RDF
Yesagyo Revolution Group (YRG)
Zarmani PDF
Golden Triangle Force (GTF)
Myeik PDF
Danu People’s Liberation Front - DPLF
Moe Nyo Revolution Force (MNRF)
Chindwin Defence Force
11 Brothers Revolution Force
Liberation Army of Central Region (LACR)
Mingin PDF
Pakokku People Defense Force - PPDF
925 Guerrilla Force
Anyar Peacock PDF
